Lat,Lon,Date
46.4901,-114.5376,2021-07-24
46.436,-114.5104,2021-07-24
46.5028,-114.5115,2021-07-24
46.4892,-114.4653,2021-07-24
45.8369,-114.987,2021-07-24
46.4312,-114.5036,2021-07-24
46.5011,-114.5261,2021-07-24
46.4951,-114.4961,2021-07-24
46.4984,-114.4685,2021-07-24
46.4344,-114.5241,2021-07-24
45.8386,-114.9731,2021-07-24
46.4236,-114.4875,2021-07-24
46.4841,-114.508,2021-07-24
46.649,-114.6637,2021-07-24
46.654,-114.6222,2021-07-24
46.4219,-114.501,2021-07-24
46.6557,-114.608,2021-07-24
46.4606,-114.5445,2021-07-24
46.4528,-114.5297,2021-07-24
46.4993,-114.5409,2021-07-24
46.4967,-114.4825,2021-07-24
46.656,-114.6006,2021-07-24
46.4341,-114.495,2021-07-24
46.424,-114.4899,2021-07-24
46.4943,-114.461,2021-07-24
46.4261,-114.5027,2021-07-24
46.4964,-114.4742,2021-07-24
46.5047,-114.5259,2021-07-24
45.8403,-114.9707,2021-07-24
46.3432,-114.7447,2021-07-24
46.4402,-114.5105,2021-07-24
46.4946,-114.4487,2021-07-24
46.651,-114.5952,2021-07-24
46.5001,-114.5293,2021-07-24
46.4219,-114.4894,2021-07-24
46.6195,-114.6597,2021-07-24
46.4938,-114.5242,2021-07-24
46.4272,-114.508,2021-07-24
46.4379,-114.5111,2021-07-24
46.4468,-114.5322,2021-07-24
46.4362,-114.5287,2021-07-24
46.3507,-114.7469,2021-07-24
46.4847,-115.0752,2021-07-24
46.6135,-114.6923,2021-07-24
46.5044,-114.5281,2021-07-24
46.6441,-114.6279,2021-07-24
46.4182,-114.4872,2021-07-24
46.4561,-114.5505,2021-07-24
46.4165,-114.5058,2021-07-24
46.4288,-114.4906,2021-07-24
46.4846,-114.5055,2021-07-24
46.4256,-114.5254,2021-07-24
46.4881,-114.4667,2021-07-24
46.6171,-114.6545,2021-07-24
46.4864,-114.4856,2021-07-24
46.6458,-114.6092,2021-07-24
46.4488,-114.5374,2021-07-24
46.3461,-114.7396,2021-07-24
46.4576,-114.5343,2021-07-24
46.4919,-114.5449,2021-07-24
46.621,-114.6426,2021-07-24
46.6391,-114.6836,2021-07-24
46.6566,-114.6111,2021-07-24
46.5252,-115.0539,2021-07-24
45.8365,-114.9763,2021-07-24
46.6587,-114.6016,2021-07-25
46.4921,-114.5358,2021-07-25
46.4876,-114.4928,2021-07-25
46.4174,-114.5326,2021-07-25
46.4266,-114.4961,2021-07-25
46.6546,-114.5942,2021-07-25
46.6469,-114.6252,2021-07-25
46.496,-114.5424,2021-07-25
46.491,-114.5026,2021-07-25
46.5006,-114.4647,2021-07-25
46.4181,-114.5344,2021-07-25
46.428,-114.5272,2021-07-25
46.4292,-114.4844,2021-07-25
46.4193,-114.4874,2021-07-25
46.4329,-114.4798,2021-07-25
46.4302,-114.4766,2021-07-25
46.6622,-114.5875,2021-07-25
46.6589,-114.584,2021-07-25
46.4265,-114.5085,2021-07-25
46.4263,-114.5051,2021-07-25
46.4573,-114.4694,2021-07-25
46.3537,-114.7292,2021-07-25
46.4193,-114.4863,2021-07-25
46.4526,-114.5237,2021-07-25
46.6642,-114.6058,2021-07-25
46.6541,-114.6081,2021-07-25
46.4312,-114.5006,2021-07-25
46.4211,-114.5036,2021-07-25
46.4289,-114.4948,2021-07-25
46.486,-115.068,2021-07-25
46.4951,-114.5344,2021-07-25
46.4292,-114.4827,2021-07-25
46.4897,-114.4828,2021-07-25
46.4978,-114.4624,2021-07-25
46.4092,-114.499,2021-07-25
46.493,-114.4909,2021-07-25
46.615,-114.6874,2021-07-25
46.4825,-114.539,2021-07-25
46.6535,-114.6269,2021-07-25
46.6585,-114.6039,2021-07-25
46.4942,-114.5427,2021-07-25
46.4867,-114.4629,2021-07-25
46.6471,-114.599,2021-07-25
46.4818,-114.4851,2021-07-25
46.4988,-114.5217,2021-07-25
46.4381,-114.5389,2021-07-25
46.3431,-114.7423,2021-07-25
46.4207,-114.5037,2021-07-25
46.6423,-114.6206,2021-07-25
46.4984,-114.4663,2021-07-25
46.6677,-114.6072,2021-07-26
46.5011,-114.5428,2021-07-26
46.4374,-114.5364,2021-07-26
45.8439,-114.9685,2021-07-26
45.8458,-114.956,2021-07-26
46.4947,-114.4605,2021-07-26
46.4858,-114.4578,2021-07-26
46.3548,-114.7186,2021-07-26
46.3579,-114.7598,2021-07-26
46.4877,-114.4449,2021-07-26
46.4664,-114.4649,2021-07-26
46.6608,-114.5917,2021-07-26
45.8331,-114.9781,2021-07-26
46.6696,-114.5945,2021-07-26
46.628,-114.689,2021-07-26
46.6387,-114.6788,2021-07-26
46.4909,-114.4861,2021-07-26
46.6589,-114.6045,2021-07-26
46.3598,-114.7468,2021-07-26
46.6494,-114.6688,2021-07-26
46.4462,-114.5391,2021-07-26
46.5029,-114.5301,2021-07-26
46.4347,-114.4896,2021-07-26
46.5269,-115.055,2021-07-26
46.4221,-114.5126,2021-07-26
46.424,-114.4998,2021-07-26
46.4152,-114.497,2021-07-26
46.431,-114.5153,2021-07-26
46.4393,-114.5235,2021-07-26
46.4922,-114.5401,2021-07-26
46.3421,-114.7413,2021-07-26
46.3402,-114.7542,2021-07-26
46.4278,-114.4741,2021-07-26
46.4366,-114.4768,2021-07-26
46.4727,-114.5475,2021-07-26
46.4639,-114.5447,2021-07-26
46.4551,-114.5419,2021-07-26
46.4815,-114.5502,2021-07-26
